date,region,state_name,gen_actual,gen_programmed,capacity,wind_energy,solar_energy,other_renewable_energy,total_renewable_energy,total_gen_with_re,Month,Year
2020-01-06,North Eastern,Mizoram,0.38,0.32,60.0,0.0,0.0,0.0,0.0,0.38,1,2020
2020-01-06,North Eastern,Nagaland,0.32,0.13,75.0,0.0,0.0,0.0,0.0,0.32,1,2020
2020-01-06,North Eastern,Tripura,13.95,17.71,1132.1,0.0,0.0,0.0,0.0,13.95,1,2020
2020-01-06,Northern,Delhi,11.64,17.03,2208.4,0.0,0.0,0.45,0.45,12.09,1,2020
2020-01-06,Northern,Haryana,55.94,74.8,5971.59,0.0,0.02,0.99,1.01,56.95,1,2020
2020-01-06,Northern,Himachal Pradesh,44.06,39.97,9809.02,0.0,0.0,2.78,2.78,46.84,1,2020
2020-01-06,Northern,Jammu And Kashmir,22.1,16.4,3624.0,0.0,0.0,0.0,0.0,22.1,1,2020
2020-01-06,Northern,Punjab,53.54,81.87,6776.3,0.0,0.42,1.05,1.47,55.01,1,2020
2020-01-06,Northern,Rajasthan,170.49,173.02,11774.13,12.06,6.05,4.85,22.96,193.45,1,2020
2020-01-06,Northern,Uttar Pradesh,332.72,365.14,24843.74,0.0,4.59,21.6,26.19,358.91,1,2020
2020-01-06,Northern,Uttarakhand,29.87,25.81,4206.35,0.0,0.15,0.87,1.02,30.89,1,2020
2020-01-06,Southern,Andhra Pradesh,177.46,202.33,18117.2,11.0,5.52,0.0,16.52,193.98,1,2020
2020-01-06,Southern,Karnataka,126.94,143.67000000000002,14029.4,23.13,30.08,13.67,66.88,193.82,1,2020
2020-01-06,Southern,Kerala,15.61,12.25,2550.04,0.41,0.19,0.0,0.6,16.21,1,2020
2020-01-06,Southern,Puducherry,0.6,0.61,32.5,0.0,0.0,0.0,0.0,0.6,1,2020
2020-01-06,Southern,Tamil Nadu,219.3,262.09,19007.08,19.16,14.07,0.0,33.230000000000004,252.53,1,2020
2020-01-06,Southern,Telangana,122.52,141.56,9588.1,0.98,14.07,0.0,15.05,137.57,1,2020
2020-01-06,Western,Chhatisgarh,364.28,306.16,23248.0,7.3,8.5,0.0,15.8,364.28,1,2020
2020-01-06,Western,Goa,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1,2020
2020-01-06,Western,Gujarat,280.41,299.52,26213.41,27.5,9.5,0.4,37.4,317.81,1,2020
2020-01-06,Western,Madhya Pradesh,366.43,353.43,22725.0,12.6,7.3,0.9,20.799999999999997,387.23,1,2020
2020-01-06,Western,Maharashtra,335.87,403.74,33040.08,17.3,6.1,0.0,23.4,359.27,1,2020
2020-01-07,Eastern,Andaman And Nicobar Islands,0.36,0.39,40.05,0.0,0.0,0.0,0.0,0.36,1,2020
2020-01-07,Eastern,Bihar,90.78,107.82,6390.0,0.0,0.0,0.47,0.47,91.25,1,2020
2020-01-07,Eastern,Jharkhand,72.48,80.04,4800.0,0.0,0.0,0.0,0.0,72.48,1,2020
2020-01-07,Eastern,Odisha,130.23000000000002,137.02,11942.25,0.0,0.0,0.89,0.89,131.12,1,2020
2020-01-07,Eastern,Sikkim,9.72,9.96,2169.0,0.0,0.0,0.0,0.0,9.72,1,2020
2020-01-07,Eastern,West Bengal,195.4,198.05,15696.2,0.0,0.0,0.0,0.0,195.4,1,2020
2020-01-07,North Eastern,Arunachal Pradesh,2.01,5.3,515.0,0.0,0.0,0.0,0.0,2.01,1,2020
2020-01-07,North Eastern,Assam,24.09,18.96,1719.21,0.0,0.0,0.0,0.0,24.09,1,2020
2020-01-07,North Eastern,Manipur,0.55,1.35,141.0,0.0,0.0,0.0,0.0,0.55,1,2020
2020-01-07,North Eastern,Meghalaya,2.15,2.03,322.0,0.0,0.0,0.0,0.0,2.15,1,2020
2020-01-07,North Eastern,Mizoram,0.34,0.32,60.0,0.0,0.0,0.0,0.0,0.34,1,2020
2020-01-07,North Eastern,Nagaland,0.27,0.13,75.0,0.0,0.0,0.0,0.0,0.27,1,2020
2020-01-07,North Eastern,Tripura,14.05,17.71,1132.1,0.0,0.0,0.0,0.0,14.05,1,2020
2020-01-07,Northern,Delhi,11.42,17.03,2208.4,0.0,0.0,0.81,0.81,12.23,1,2020
2020-01-07,Northern,Haryana,57.59,74.8,5971.59,0.0,0.03,0.96,0.99,58.580000000000005,1,2020
2020-01-07,Northern,Himachal Pradesh,40.05,39.97,9809.02,0.0,0.0,2.91,2.91,42.96,1,2020
2020-01-07,Northern,Jammu And Kashmir,24.24,16.4,3624.0,0.0,0.0,0.0,0.0,24.24,1,2020
2020-01-07,Northern,Punjab,54.24,81.87,6776.3,0.0,0.46,1.05,1.51,55.74999999999999,1,2020
2020-01-07,Northern,Rajasthan,171.67,173.02,11774.13,14.49,3.56,4.82,22.87,194.54,1,2020
2020-01-07,Northern,Uttar Pradesh,343.68,365.14,24843.74,0.0,5.44,21.6,27.040000000000003,370.72,1,2020
2020-01-07,Northern,Uttarakhand,30.55,25.81,4206.35,0.0,0.08,0.8,0.88,31.43,1,2020
2020-01-07,Southern,Andhra Pradesh,181.33,202.33,18117.2,7.11,5.44,0.0,12.55,193.88,1,2020
2020-01-07,Southern,Karnataka,129.87,143.67000000000002,14029.4,17.94,31.57,13.6,63.11000000000001,192.98,1,2020
2020-01-07,Southern,Kerala,14.76,12.25,2550.04,0.33,0.31,0.0,0.64,15.4,1,2020
2020-01-07,Southern,Puducherry,0.6,0.61,32.5,0.0,0.0,0.0,0.0,0.6,1,2020
2020-01-07,Southern,Tamil Nadu,224.82,262.09,19007.08,20.08,12.64,0.0,32.72,257.54,1,2020
2020-01-07,Southern,Telangana,135.34,141.56,9588.1,0.74,13.31,0.0,14.05,149.39,1,2020
2020-01-07,Western,Chhatisgarh,371.12,306.16,23248.0,7.3,8.5,0.0,15.8,371.12,1,2020
2020-01-07,Western,Goa,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1,2020
2020-01-07,Western,Gujarat,291.37,299.52,26213.41,23.0,6.7,0.4,30.099999999999998,321.47,1,2020
2020-01-07,Western,Madhya Pradesh,365.27,353.43,22725.0,6.0,5.6,1.1,12.7,377.97,1,2020
2020-01-07,Western,Maharashtra,346.03000000000003,403.74,33040.08,8.4,5.2,0.0,13.600000000000001,359.63000000000005,1,2020
2020-01-08,Eastern,Andaman And Nicobar Islands,0.36,0.39,40.05,0.0,0.0,0.0,0.0,0.36,1,2020
2020-01-08,Eastern,Bihar,89.52,107.82,6390.0,0.0,0.0,0.37,0.37,89.89,1,2020
2020-01-08,Eastern,Jharkhand,73.53,80.04,4800.0,0.0,0.0,0.0,0.0,73.53,1,2020
2020-01-08,Eastern,Odisha,137.03,137.02,11942.25,0.0,0.0,0.89,0.89,137.92,1,2020
2020-01-08,Eastern,Sikkim,9.63,9.96,2169.0,0.0,0.0,0.0,0.0,9.63,1,2020
2020-01-08,Eastern,West Bengal,191.49,198.05,15696.2,0.0,0.0,0.0,0.0,191.49,1,2020
2020-01-08,North Eastern,Arunachal Pradesh,2.13,5.3,515.0,0.0,0.0,0.0,0.0,2.13,1,2020
2020-01-08,North Eastern,Assam,22.42,18.96,1719.21,0.0,0.0,0.0,0.0,22.42,1,2020
2020-01-08,North Eastern,Manipur,0.55,1.35,141.0,0.0,0.0,0.0,0.0,0.55,1,2020
